functionType,MatrixSize,Real Time
Inline Mult,1000,0.226013291
Inline Mult,1000,0.226628859
Inline Mult,1000,0.226507905
Inline Mult,1000,0.226983441
Inline Mult,1000,0.236338668
Inline Mult,1000,0.291212976
Inline Mult,1000,0.307099183
Inline Mult,1000,0.28818532
Inline Mult,1000,0.277347548
Inline Mult,1000,0.247804783
Inline Mult,1000,0.232872596
Inline Mult,1400,0.70852785
Inline Mult,1400,0.72720308
Inline Mult,1400,0.723439392
Inline Mult,1400,0.687611085
Inline Mult,1400,0.700502038
Inline Mult,1400,0.745448343
Inline Mult,1400,0.817963744
Inline Mult,1400,0.769672915
Inline Mult,1400,0.770145528
Inline Mult,1400,0.773672668
Inline Mult,1400,0.731428877
Inline Mult,1400,0.749479572
Inline Mult,1400,0.79233108
Inline Mult,1400,0.670679284
Inline Mult,1400,0.66618794
Inline Mult,1400,0.654362827
Inline Mult,1400,0.72114677
Inline Mult,1400,0.682106161
Inline Mult,1400,0.7809144
Inline Mult,1400,0.731366574
Inline Mult,1400,0.7358619
Inline Mult,1400,0.764830618
Inline Mult,1400,0.727526699
Inline Mult,1400,0.835345202
Inline Mult,1400,0.754522969
Inline Mult,1400,0.775027192
Inline Mult,1400,0.716433176
Inline Mult,1400,0.690209389
Inline Mult,1400,0.646679596
Inline Mult,1400,0.644560004
Inline Mult,1400,0.64876545
Inline Mult,1800,2.085807219
Inline Mult,1800,1.947118892
Inline Mult,1800,2.084123723
Inline Mult,1800,2.062016846
Inline Mult,1800,2.16151609
Inline Mult,1800,2.322860931
Inline Mult,1800,2.380218783
Inline Mult,1800,2.166846306
Inline Mult,1800,2.416175978
Inline Mult,1800,2.214774784
Inline Mult,1800,2.00226001
Inline Mult,1800,2.077798778
Inline Mult,1800,2.083102332
Inline Mult,1800,2.057854165
Inline Mult,1800,2.016298631
Inline Mult,1800,1.959305924
Inline Mult,1800,2.016075217
Inline Mult,1800,1.966103694
Inline Mult,1800,2.044103195
Inline Mult,1800,2.119601673
Inline Mult,1800,2.032907969
Inline Mult,1800,2.422384894
Inline Mult,1800,2.50190038
Inline Mult,1800,2.35232342
Inline Mult,1800,2.351771787
Inline Mult,1800,1.964041816
